Year, All, Kidney, Liver, Pancreas, Kidney.Pancreas, Heart, Lung, HeartLung, Intestine, All-0-1, Liver-0-1, Heart-0-1, All-1-5, Kidney-1-5,Liver-1-5, Heart-1-5, Heart.Lung-1-5, All-6-10, Kidney-6-10, Liver-6-10, Heart-6-10, Lung-6-10, All-11-17, Kidney-11-17, Liver-11-17, Heart-11-17, Lung-11-17, All-18-34, Kidney-18-34, Liver-18-34, Pancreas-18-34, Kidney.Pancreas-18-34, Heart-18-34, Lung-18-34, Intestine-18-34, All-35-49, Kidney-35-49, Liver-35-49, Pancreas-35-49, Kidney.Pancreas-35-49, Heart-35-49, Lung-35-49, Heart.Lung-35-49, All-50-64, Kidney-50-64, Liver-50-64, Pancreas-50-64, Kidney.Pancreas-50-64, Heart-50-64, Lung-50-64, All-65+, Kidney-65+, Liver-65+, Heart-65+, Lung-65+,
1998,124,69,23,1,3,16,12,0,0,0,0,0,1,0,0,1,0,6,4,1,0,1,3,1,1,0,1,19,13,2,1,2,1,0,0,40,29,8,0,1,0,2,0,48,18,9,0,0,13,8,7,4,2,0,1,0
1999,125,63,23,2,4,17,16,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,9,4,3,2,0,17,12,1,1,0,2,1,0,42,21,7,0,4,2,8,0,42,20,7,1,0,11,3,12,5,3,0,0,4
2000,136,55,37,1,6,15,22,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,3,1,0,1,15,7,4,0,2,1,1,0,39,18,10,1,4,3,3,0,66,19,20,0,0,11,16,9,7,1,0,0,1
2001,141,58,40,1,5,14,23,0,0,1,0,1,2,1,0,1,0,2,1,1,0,0,7,6,0,0,1,11,7,4,0,0,0,0,0,48,17,13,1,5,7,5,0,60,20,19,0,0,5,16,10,6,3,0,0,1
2002,116,63,29,1,1,9,13,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,3,2,0,1,0,21,14,4,0,0,0,3,0,35,15,12,1,1,2,4,0,43,21,10,0,0,6,6,11,8,3,0,0,0
2003,143,68,28,2,6,20,19,0,0,0,0,0,3,2,0,1,0,2,1,0,1,0,3,1,0,2,0,20,15,0,1,2,1,1,0,36,14,10,1,3,6,2,0,66,28,15,0,1,8,14,13,7,3,0,1,2
2004,155,73,36,7,5,9,25,0,0,1,0,1,6,4,1,1,0,1,1,0,0,0,6,5,0,0,1,17,9,2,2,0,2,2,0,39,16,13,4,3,2,1,0,71,29,17,1,2,3,19,14,9,3,0,0,2
2005,200,94,40,12,5,13,36,0,0,0,0,0,4,2,1,1,0,2,2,0,0,0,4,2,0,1,1,26,12,3,5,0,2,4,0,53,20,10,6,4,4,9,0,89,41,26,1,1,5,15,22,15,0,0,0,7
2006,229,107,58,9,6,15,34,0,0,3,3,0,3,2,0,1,0,1,1,0,0,0,5,2,0,2,1,27,16,2,3,1,0,5,0,72,37,16,6,5,4,4,0,96,36,31,0,0,8,21,22,13,6,0,0,3
2007,229,102,83,8,4,12,19,0,1,3,1,2,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,24,15,2,1,1,2,2,1,49,21,18,4,1,3,2,0,121,48,53,3,2,4,11,28,15,8,0,1,4
2008,234,103,86,6,8,12,19,0,0,0,0,0,4,0,3,1,0,3,1,2,0,0,7,4,1,2,0,21,15,1,0,1,2,2,0,47,14,18,2,7,2,4,0,118,43,54,4,0,5,12,34,26,7,0,0,1
2009,220,79,87,14,3,14,22,0,1,3,2,1,4,2,1,1,0,0,0,0,0,0,4,3,0,1,0,21,14,3,2,0,1,0,1,50,15,23,7,3,2,0,0,114,35,52,5,0,7,15,24,10,6,0,1,7
2010,197,69,78,4,6,21,19,0,0,1,1,0,2,1,1,0,0,3,3,0,0,0,2,1,0,1,0,21,7,8,0,1,3,2,0,40,18,11,3,3,4,1,0,103,27,46,1,2,12,15,25,12,11,0,1,1
2011,164,76,45,3,6,15,19,0,0,2,0,2,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,15,7,4,1,0,1,2,0,24,11,5,1,4,1,2,0,101,38,34,1,2,11,15,17,15,2,0,0,0
2012,174,68,68,4,6,13,15,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,3,2,1,0,0,15,10,5,0,0,0,0,0,41,17,10,3,6,3,2,0,93,26,49,1,0,6,11,16,7,3,0,4,2
2013,115,44,44,3,4,11,9,0,0,3,0,3,2,0,1,1,0,0,0,0,0,0,4,2,0,2,0,9,5,1,0,2,0,1,0,21,10,6,1,2,1,1,0,61,19,32,1,0,3,6,15,8,4,1,1,1
