Year, All, Kidney, Liver, Heart, Pancreas, Lung, Intestine, All-0-1, Kidney.0.1, Liver-0-1, Heart-0-1, Pancreas.0.1, Lung.0.1, Intestine.0.1, All-1-5, Kidney-1-5,Liver-1-5, Heart-1-5, Pancreas-1-5, Lung-1-5, Intestine-1-5, All-6-10, Kidney-6-10, Liver-6-10, Heart-6-10, Pancreas-6-10, Lung-6-10, Intestine-6-10, All-11-17, Kidney-11-17, Liver-11-17, Heart-11-17, Pancreas-11-17, Lung-11-17, Intestine-11-17, All-18-34, Kidney-18-34, Liver-18-34, Heart-18-34, Pancreas-18-34, Lung-18-34, Intestine-18-34, All-35-49, Kidney-35-49, Liver-35-49, Heart-35-49, Pancreas-35-49, Lung-35-49, Intestine-35-49, All-50-64, Kidney-50-64, Liver-50-64, Heart-50-64, Pancreas-50-64, Lung-50-64, Intestine-50-64, All-65+, Kidney-65+, Liver-65+, Heart-65+, Pancreas.65+, Lung-65+, Intestine-65+, All.U, Kidney.U, Liver.U, Heart.U, Pancreas.U, Lung.U, Intestine.U
2002,621,565,547,260,208,80,16,13,2,11,10,1,0,5,19,18,19,9,1,0,3,19,19,14,5,4,1,2,56,55,52,34,32,14,3,176,166,159,107,112,39,3,153,138,131,62,47,15,0,140,130,122,32,9,11,0,45,37,39,1,2,0,0,0,0,0,0,0,0,0
2003,631,560,558,256,170,86,16,13,4,10,11,2,1,6,17,15,14,10,2,0,3,13,12,11,4,3,2,2,54,50,51,28,31,12,4,178,168,162,116,89,38,1,187,170,165,62,39,19,0,129,114,108,25,4,13,0,40,27,37,0,0,1,0,0,0,0,0,0,0,0
2004,690,636,620,241,218,99,18,10,5,10,6,2,0,3,24,22,23,11,3,2,10,12,12,12,4,4,2,2,53,52,48,33,33,16,2,208,201,185,109,129,38,1,182,169,161,52,39,26,0,156,141,139,24,8,14,0,45,34,42,2,0,1,0,0,0,0,0,0,0,0
2005,805,716,743,270,245,158,22,13,4,11,12,7,0,9,20,19,20,8,4,3,6,8,8,8,1,3,1,2,58,57,56,37,39,24,3,216,201,205,118,120,65,2,206,190,181,70,63,36,0,210,187,193,24,8,29,0,74,50,69,0,1,0,0,0,0,0,0,0,0,0
2006,946,856,865,300,229,176,33,20,5,17,15,4,3,8,20,17,17,9,3,0,8,19,19,17,8,4,5,3,76,75,70,36,46,27,4,234,225,221,138,115,75,8,281,256,252,71,46,39,2,214,194,196,23,11,26,0,82,65,75,0,0,1,0,0,0,0,0,0,0,0
2007,914,820,818,271,203,155,28,14,9,14,8,5,2,9,23,20,18,7,3,0,5,19,19,18,7,9,3,4,54,52,48,27,24,16,1,228,212,214,117,109,57,6,233,207,204,80,49,47,2,259,234,225,25,4,25,1,84,67,77,0,0,5,0,0,0,0,0,0,0,0
2008,922,821,822,298,233,170,32,16,4,13,14,10,0,10,21,20,19,16,11,1,12,16,16,14,6,5,1,2,57,55,55,35,36,18,1,253,239,230,133,116,71,4,242,215,213,69,45,45,3,247,216,213,25,10,30,0,70,56,65,0,0,4,0,0,0,0,0,0,0,0
2009,962,857,867,286,217,190,27,15,11,14,13,6,1,7,24,22,22,10,6,0,8,10,10,9,4,3,1,1,59,59,57,26,35,19,4,231,215,216,129,119,78,2,266,234,241,80,38,61,4,284,254,237,24,10,30,1,73,52,71,0,0,0,0,0,0,0,0,0,0,0
2010,941,862,813,315,203,222,19,17,14,15,14,3,2,5,26,25,23,13,2,2,5,12,12,11,6,3,2,3,57,57,55,35,36,22,2,252,239,230,133,100,96,4,273,248,232,96,53,63,0,248,229,200,18,6,32,0,56,38,47,0,0,3,0,0,0,0,0,0,0,0
2011,909,851,765,315,196,224,16,22,14,17,17,7,1,7,22,21,19,14,4,1,6,14,14,12,8,5,2,1,56,56,46,34,37,26,0,247,237,221,145,113,100,0,260,242,210,80,24,60,2,240,224,198,17,6,34,0,48,43,42,0,0,0,0,0,0,0,0,0,0,0
2012,970,906,805,269,164,205,19,21,16,15,17,3,1,3,30,30,26,14,7,0,10,15,15,12,8,4,0,2,52,52,46,21,19,21,4,246,240,217,114,98,77,0,266,254,217,72,32,62,0,262,233,203,23,1,42,0,78,66,69,0,0,2,0,0,0,0,0,0,0,0
2013,598,556,515,191,119,139,11,14,11,7,12,1,0,3,9,8,7,2,0,1,0,8,8,7,5,5,2,1,25,25,22,12,11,7,0,176,173,166,91,81,65,6,165,153,139,57,21,39,1,163,145,131,12,0,25,0,38,33,36,0,0,0,0,0,0,0,0,0,0,0
